date,link,price,title
May 23,https://newyork.craigslist.org/que/reb/d/rego-park-for-sale-stunning-two-family/7484376173.html,$0,[FOR SALE]  Stunning Two-Family Colonial in the Heart of Rego Park
May 23,https://newyork.craigslist.org/que/reb/d/rego-park-for-sale-fantastic-location/7478986440.html,$0,[FOR SALE] Fantastic Location: Close To All!
May 23,https://newyork.craigslist.org/que/reb/d/rego-park-for-salewonderful-mid-rise/7481401984.html,$0,[FOR SALE]Wonderful Mid-Rise Condo in the Heart of Rego Park!
May 23,https://newyork.craigslist.org/que/reb/d/ozone-park-large-renovated-three/7487219747.html,"$2,400","Large renovated three (3) bedroom, two bath, (Voy) Lindenwood"
May 23,https://newyork.craigslist.org/brk/reb/d/brooklyn-bedrrom-condo/7487219247.html,"$599,000",2 bedrrom Condo
May 23,https://newyork.craigslist.org/que/reo/d/east-elmhurst-bed-bath/7487214106.html,"$2,200",2 bed 1 bath
May 23,https://newyork.craigslist.org/wch/reb/d/scarsdale-for-sale-in-scarsdale-ny-68/7487218017.html,"$835,000","FOR SALE IN SCARSDALE, NY - 68 Parkway Circle"
May 23,https://newyork.craigslist.org/mnh/reb/d/new-york-prime-east-village-retail/7483379294.html,"$28,000",Prime East Village Retail Opportunity!
May 23,https://newyork.craigslist.org/mnh/reb/d/new-york-new-prime-retail-space-in-the/7486031019.html,"$50,000","New, Prime Retail Space in the Financial District!"
May 23,https://newyork.craigslist.org/mnh/reb/d/new-york-west-village-restaurant-months/7480233186.html,"$8,995",West Village Restaurant - 6 Months Free and 6 Months T.I.
May 23,https://newyork.craigslist.org/brk/reb/d/brooklyn-two-bedrooms-in-midwood-for/7480632356.html,"$356,000",Two bedrooms in Midwood for a price of a studio in Manhattan
May 23,https://newyork.craigslist.org/mnh/reb/d/new-york-new-prime-chelsea-restaurant/7478213552.html,"$12,500","New, Prime Chelsea Restaurant Space Opportunity"
May 23,https://newyork.craigslist.org/mnh/reb/d/new-york-great-deals-in-washington/7475372947.html,"$575,000",Great deals in Washington Heights
May 23,https://newyork.craigslist.org/mnh/reb/d/new-york-looking-for-buyers/7477053707.html,"$300,000",Looking for  Buyers
May 23,https://newyork.craigslist.org/mnh/reb/d/new-york-perfect-soho-retail-opportunity/7483380110.html,"$13,000",Perfect SOHO Retail Opportunity!
May 23,https://newyork.craigslist.org/que/reo/d/long-island-city-location-location/7478933310.html,"$6,500",Location location location bar/restaurant available
May 23,https://newyork.craigslist.org/que/reo/d/long-island-city-location-location/7480174554.html,"$6,500",Location location location bar/restaurant available
May 23,https://newyork.craigslist.org/mnh/reb/d/new-york-tribeca-retail-space-available/7476545230.html,"$9,995",TRIBECA RETAIL SPACE AVAILABLE
May 23,https://newyork.craigslist.org/mnh/reb/d/new-york-new-downtown-restaurant-space/7477374662.html,"$25,000","New, Downtown Restaurant Space Available!"
May 23,https://newyork.craigslist.org/que/reo/d/long-island-city-location-location/7485202403.html,"$6,500",Location location location bar/restaurant available
May 23,https://newyork.craigslist.org/que/reo/d/long-island-city-location-location/7485202254.html,"$6,500",Location location location bar/restaurant available
May 23,https://newyork.craigslist.org/que/reo/d/jamaica-nice-studio-prime-briarwood-by/7486050867.html,"$1,595",NICE STUDIO = PRIME BRIARWOOD - BY QUEENS BLVD SUBWAY
May 23,https://newyork.craigslist.org/que/reo/d/forest-hills-basic-studio-elevator/7486058289.html,"$1,595","BASIC STUDIO - ELEVATOR, LAUNDRY RM, NEAR SUBWAY, LIRR, BUSES  & SHOPS"
May 23,https://newyork.craigslist.org/mnh/reb/d/new-york-make-washington-heights-your/7484769548.html,"$585,000",Make Washington Heights your HOME
May 23,https://newyork.craigslist.org/mnh/reo/d/new-york-new-bedroom-bath-separate/7475766218.html,"$1,722",NEW 1 bedroom 1 bath -separate Kitchen*very private *w128/Broadway *
May 23,https://newyork.craigslist.org/mnh/reo/d/new-york-great-bedroom-separate/7475768566.html,"$1,745",Great 1 bedroom -separate Kitchen*very private *w129/Convent  *
May 23,https://newyork.craigslist.org/brx/reo/d/bronx-really-spacious-studio-bedroom/7475768829.html,"$1,390",REALLY SPACIOUS studio bedroom with elevator and laundry
May 23,https://newyork.craigslist.org/mnh/reo/d/new-york-great-1br-separate-kitchenvery/7475769223.html,"$1,698",Great 1br -separate Kitchen*very private *w149/Broadway *
May 23,https://newyork.craigslist.org/mnh/reo/d/new-york-great-studio-separate/7483847481.html,"$1,575",Great studio -separate Kitchen*very private *w154/Broadway *
May 23,https://newyork.craigslist.org/mnh/reo/d/new-york-new-bedroom-bath-separate/7483847984.html,"$1,972",NEW 1 bedroom 1 bath -separate Kitchen*very private *w171/Broadway *
May 23,https://newyork.craigslist.org/brk/reo/d/brooklyn-quiet-and-private-studio/7486035187.html,"$1,750",Quiet and private studio basement with laundry
May 23,https://newyork.craigslist.org/mnh/reo/d/new-york-lovely-bedroom-bath-bright/7486033522.html,"$3,250",Lovely 3 bedroom 2 bath Bright apartment *w141/Convent *
May 23,https://newyork.craigslist.org/mnh/reo/d/new-york-great-bedroom-separate/7486034044.html,"$1,785",Great 1 bedroom -separate Kitchen*w152/Broadway *
May 23,https://newyork.craigslist.org/wch/reo/d/yonkers-extra-large-bedroom-in/7482964388.html,"$1,595",Extra large 1 bedroom in excellent building. Laundry!
May 23,https://newyork.craigslist.org/mnh/reb/d/new-york-office-intensive-layout/7477372600.html,"$19,995","**Office Intensive Layout, Elegant Lexington Ave Building!!**"
